G	ifd_prop	time_to_IFD	sd_intake	
6540	0.9987	9.67348	0.0030104	
6550	0.9981	9.77382	0.00302133	
6560	0.9964	10.0042	0.00311782	
6570	0.9971	9.48216	0.00319076	
6580	0.9972	9.88216	0.0030643	
6590	0.9983	9.94419	0.00273191	
6600	0.9976	9.91192	0.00303736	
6610	0.9974	9.88445	0.00294791	
6620	0.9978	9.76239	0.0030474	
6630	0.9978	9.854	0.00315845	
6640	0.997	9.80277	0.00319031	
6650	0.9959	9.93192	0.00304427	
6660	0.9964	9.96325	0.00318099	
6670	0.9966	9.74195	0.00291173	
6680	0.9962	10.0033	0.00331488	
6690	0.9967	9.94419	0.00326319	
6700	0.9958	10.0023	0.00335713	
6710	0.9964	10.0036	0.00335213	
6720	0.9961	10.0013	0.00312085	
6730	0.9953	10.0043	0.00339702	
6740	0.9963	9.95405	0.00326311	
6750	0.9962	9.82273	0.00325242	
6760	0.9977	9.58287	0.00300105	
6770	0.997	10.0024	0.00303708	
6780	0.9971	9.77364	0.00323183	
6790	0.9972	9.95333	0.00286007	
6800	0.9972	10.0024	0.00311146	
6810	0.9962	10.0022	0.0030439	
6820	0.9973	9.71249	0.00309238	
6830	0.9973	9.80268	0.00345248	
6840	0.9984	9.81345	0.00298877	
6850	0.9977	9.57235	0.00290666	
6860	0.9974	10.0015	0.00355089	
6870	0.9966	9.87202	0.00307824	
6880	0.9977	9.8452	0.00302569	
6890	0.9977	9.85331	0.00293852	
6900	0.9972	9.95248	0.00307704	
6910	0.9983	9.85394	0.00292002	
6920	0.9979	9.65345	0.00301143	
6930	0.9962	10.0021	0.00338557	
6940	0.9961	10.0022	0.00335722	
6950	0.9974	10.006	0.00294051	
6960	0.9929	10.0025	0.00354959	
6970	0.9952	9.81403	0.00345839	
6980	0.9957	9.83314	0.00341016	
6990	0.9979	9.7331	0.00315346	
