G	ifd_prop	time_to_IFD	sd_intake	
4300	0.9986	9.90204	0.00280807	
4310	0.9987	9.42207	0.00292753	
4320	0.9996	8.65295	0.00271889	
4330	0.9994	8.99385	0.00303654	
4340	0.9991	9.66236	0.00288574	
4350	0.9991	9.0623	0.00310703	
4360	0.9987	9.29154	0.00296058	
4370	0.9986	9.55176	0.0030989	
4380	0.9987	9.50358	0.00267853	
4390	0.9988	9.52345	0.00317273	
4400	0.9987	9.44175	0.00296115	
4410	0.9982	9.84161	0.00277835	
4420	0.9983	9.83303	0.00298905	
4430	0.9994	9.15232	0.0029525	
4440	0.9989	9.18178	0.00289345	
4450	0.9987	9.52206	0.0031003	
4460	0.999	9.55287	0.00267767	
4470	0.9991	9.28222	0.00272085	
4480	0.9987	9.77264	0.00286519	
4490	0.9989	9.52119	0.00283004	
4500	0.9993	9.67194	0.00294988	
4510	0.9987	9.65163	0.00281917	
4520	0.9986	9.76138	0.00303556	
4530	0.9989	9.51416	0.00298267	
4540	0.9991	9.07245	0.00282945	
4550	0.9994	9.36216	0.00285878	
4560	0.9989	9.65206	0.00287701	
4570	0.9987	9.71256	0.00284587	
4580	0.9993	9.28166	0.00287164	
4590	0.999	9.72165	0.00293466	
4600	0.9986	9.50116	0.00314826	
4610	0.9985	9.74291	0.00312591	
4620	0.9991	9.3119	0.0027272	
4630	0.999	9.37431	0.00260816	
4640	0.9986	9.68108	0.00293407	
4650	0.9993	8.84196	0.00281413	
4660	0.9991	9.78384	0.00283126	
4670	0.9995	9.2929	0.00265169	
4680	0.9986	9.3726	0.00295441	
4690	0.999	9.62181	0.00274864	
4700	0.9988	9.72257	0.00288821	
4710	0.9988	9.33371	0.00271403	
4720	0.9984	9.88179	0.00306889	
4730	0.9987	9.69191	0.00311002	
4740	0.9992	9.09282	0.00282357	
4750	0.9989	9.03294	0.00288827	
4760	0.9988	9.38278	0.00316804	
4770	0.9993	9.41264	0.00296233	
4780	0.9987	9.69369	0.0030194	
4790	0.9985	9.47191	0.00311216	
4800	0.9989	9.68332	0.00296769	
4810	0.9982	9.21261	0.00293555	
4820	0.998	9.79243	0.00298197	
4830	0.9988	9.62197	0.00298261	
